Area,Item,Year,Unit,Value
Slovenia,Coal,2010,kilotonnes,2.834
Slovenia,Coal,2015,kilotonnes,0.496
Slovenia,Coal,2020,kilotonnes,0.2519
Solomon Islands,Coal,2010,NULL,NULL
Solomon Islands,Coal,2015,NULL,NULL
Solomon Islands,Coal,2020,NULL,NULL
Somalia,Coal,2010,NULL,NULL
Somalia,Coal,2015,NULL,NULL
Somalia,Coal,2020,NULL,NULL
South Africa,Coal,2010,kilotonnes,327.0511
South Africa,Coal,2015,kilotonnes,2689.6294
South Africa,Coal,2020,kilotonnes,4113.0339
South Sudan,Coal,2010,NULL,NULL
South Sudan,Coal,2015,NULL,NULL
South Sudan,Coal,2020,NULL,NULL
Spain,Coal,2010,kilotonnes,104.9451
Spain,Coal,2015,kilotonnes,63.2337
Spain,Coal,2020,kilotonnes,68.1682
Sri Lanka,Coal,2010,kilotonnes,10.4632
Sri Lanka,Coal,2015,kilotonnes,3.2439
Sri Lanka,Coal,2020,kilotonnes,0.9354
Sudan,Coal,2010,NULL,NULL
Sudan,Coal,2015,NULL,NULL
Sudan,Coal,2020,NULL,NULL
Sudan (former),Coal,2010,NULL,NULL
Sudan (former),Coal,2015,NULL,NULL
Sudan (former),Coal,2020,NULL,NULL
Suriname,Coal,2010,NULL,NULL
Suriname,Coal,2015,NULL,NULL
Suriname,Coal,2020,NULL,NULL
Svalbard and Jan Mayen Islands,Coal,2010,NULL,NULL
Svalbard and Jan Mayen Islands,Coal,2015,NULL,NULL
Svalbard and Jan Mayen Islands,Coal,2020,NULL,NULL
Sweden,Coal,2010,kilotonnes,11.1935
Sweden,Coal,2015,kilotonnes,11.0041
Sweden,Coal,2020,kilotonnes,9.5481
Switzerland,Coal,2010,kilotonnes,10.677
Switzerland,Coal,2015,kilotonnes,1.7885
Switzerland,Coal,2020,kilotonnes,0.752
Syrian Arab Republic,Coal,2010,NULL,NULL
Syrian Arab Republic,Coal,2015,NULL,NULL
Syrian Arab Republic,Coal,2020,NULL,NULL
Tajikistan,Coal,2010,kilotonnes,0.3707
Tajikistan,Coal,2015,kilotonnes,3.9231
Tajikistan,Coal,2020,kilotonnes,4.9052
Thailand,Coal,2010,kilotonnes,84.2481
Thailand,Coal,2015,kilotonnes,146.0899
Thailand,Coal,2020,kilotonnes,129.9127
Timor-Leste,Coal,2010,NULL,NULL
Timor-Leste,Coal,2015,NULL,NULL
Timor-Leste,Coal,2020,NULL,NULL
Togo,Coal,2010,NULL,NULL
Togo,Coal,2015,NULL,NULL
Togo,Coal,2020,NULL,NULL
Tokelau,Coal,2010,NULL,NULL
Tokelau,Coal,2015,NULL,NULL
Tokelau,Coal,2020,NULL,NULL
Tonga,Coal,2010,NULL,NULL
Tonga,Coal,2015,NULL,NULL
Tonga,Coal,2020,NULL,NULL
Trinidad and Tobago,Coal,2010,NULL,NULL
Trinidad and Tobago,Coal,2015,NULL,NULL
Trinidad and Tobago,Coal,2020,NULL,NULL
Tunisia,Coal,2010,kilotonnes,4.7602
Tunisia,Coal,2015,kilotonnes,3.7524
Tunisia,Coal,2020,kilotonnes,3.8081
Türkiye,Coal,2010,kilotonnes,13492.8236
Türkiye,Coal,2015,kilotonnes,2502.6007
Türkiye,Coal,2020,NULL,NULL
Turkmenistan,Coal,2010,NULL,NULL
Turkmenistan,Coal,2015,NULL,NULL
Turkmenistan,Coal,2020,NULL,NULL
Turks and Caicos Islands,Coal,2010,NULL,NULL
Turks and Caicos Islands,Coal,2015,NULL,NULL
Turks and Caicos Islands,Coal,2020,NULL,NULL
Tuvalu,Coal,2010,NULL,NULL
Tuvalu,Coal,2015,NULL,NULL
Tuvalu,Coal,2020,NULL,NULL
Uganda,Coal,2010,kilotonnes,0.079
Uganda,Coal,2015,kilotonnes,0.0296
Uganda,Coal,2020,kilotonnes,0.0135
Ukraine,Coal,2010,kilotonnes,78.1018
Ukraine,Coal,2015,kilotonnes,73.2204
Ukraine,Coal,2020,kilotonnes,31.7288
United Arab Emirates,Coal,2010,kilotonnes,1130.1246
United Arab Emirates,Coal,2015,kilotonnes,310.7735
United Arab Emirates,Coal,2020,NULL,NULL
United Kingdom of Great Britain and Northern Ireland,Coal,2010,kilotonnes,4.8814
United Kingdom of Great Britain and Northern Ireland,Coal,2015,kilotonnes,5.2041
United Kingdom of Great Britain and Northern Ireland,Coal,2020,kilotonnes,3.823
United Republic of Tanzania,Coal,2010,kilotonnes,54.2537
United Republic of Tanzania,Coal,2015,kilotonnes,89.564
United Republic of Tanzania,Coal,2020,kilotonnes,112.5841
United States of America,Coal,2010,kilotonnes,303.1466
United States of America,Coal,2015,kilotonnes,211.9419
United States of America,Coal,2020,kilotonnes,135.1762
United States Virgin Islands,Coal,2010,NULL,NULL
United States Virgin Islands,Coal,2015,NULL,NULL
United States Virgin Islands,Coal,2020,NULL,NULL
Uruguay,Coal,2010,kilotonnes,0.3591
Uruguay,Coal,2015,kilotonnes,0.4667
Uruguay,Coal,2020,kilotonnes,0.5528
USSR,Coal,2010,NULL,NULL
USSR,Coal,2015,NULL,NULL
USSR,Coal,2020,NULL,NULL
Uzbekistan,Coal,2010,kilotonnes,4.4015
Uzbekistan,Coal,2015,kilotonnes,4.281
Uzbekistan,Coal,2020,kilotonnes,10.1454
Vanuatu,Coal,2010,NULL,NULL
Vanuatu,Coal,2015,NULL,NULL
Vanuatu,Coal,2020,NULL,NULL
Venezuela (Bolivarian Republic of),Coal,2010,kilotonnes,90.4978
Venezuela (Bolivarian Republic of),Coal,2015,kilotonnes,57.0185
Venezuela (Bolivarian Republic of),Coal,2020,NULL,NULL
Viet Nam,Coal,2010,kilotonnes,85.4238
Viet Nam,Coal,2015,kilotonnes,107.3899
Viet Nam,Coal,2020,kilotonnes,40.345
Wallis and Futuna Islands,Coal,2010,NULL,NULL
Wallis and Futuna Islands,Coal,2015,NULL,NULL
Wallis and Futuna Islands,Coal,2020,NULL,NULL
Western Sahara,Coal,2010,NULL,NULL
Western Sahara,Coal,2015,NULL,NULL
Western Sahara,Coal,2020,NULL,NULL
Yemen,Coal,2010,kilotonnes,201.2794
Yemen,Coal,2015,kilotonnes,33.2515
Yemen,Coal,2020,NULL,NULL
Yugoslav SFR,Coal,2010,NULL,NULL
Yugoslav SFR,Coal,2015,NULL,NULL
Yugoslav SFR,Coal,2020,NULL,NULL
Zambia,Coal,2010,kilotonnes,4.8814
Zambia,Coal,2015,kilotonnes,6.0636
Zambia,Coal,2020,kilotonnes,7.1161
Zimbabwe,Coal,2010,kilotonnes,1874.4422
Zimbabwe,Coal,2015,kilotonnes,92.7458
Zimbabwe,Coal,2020,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
,,,NULL,NULL
